radius,MAE,RMSE,RelRMSE,relative_l2_error,h11,h12,h22,power_law_p
0.05,3.485243462876513e-05,4.520263191828188e-05,0.018065133860445677,1.961204738101105e-05,1.0000000000000002e-06,-6.5557623908492036e-24,1e-06,2.0334664145229273
0.1,0.00016598171302921602,0.00021311965445972782,0.049405218547452286,9.247069818587207e-05,1e-06,-6.995431979476568e-25,1e-06,2.0334664145229273
0.2,0.0008250065057474133,0.0010390311626453832,0.1614916090420285,0.0004509347849323918,1.0000000000000002e-06,1.302066085828323e-23,1.0000000000000002e-06,2.0334664145229273
0.3,0.0018473360199905986,0.0022874966320856564,0.2111548984097759,0.0009931905214503958,1e-06,-3.551983149987132e-23,1e-06,2.0334664145229273
0.5,0.0031840549239253294,0.004332158073225144,0.14592813722863338,0.0018819073114073944,0.011203578046598479,0.0053304584290333485,0.0025373614469332054,2.0334664145229273
