direction_type,status,MAE,RMSE,RelRMSE,relative_l2_error
trajectory,todo_missing_epoch_checkpoints,,,,
random_filter_normalized,ok,8.240044856703697e-05,0.00010927693871860995,0.10464399570210516,4.73993383635078e-05
layer_normalized,ok,8.725197011142906e-05,0.00011517132886842328,0.10861462964769944,4.995612439651478e-05
gradient_aligned,ok,2.9586932144900474e-06,3.3935752446246677e-06,0.0014833709783575867,1.471848776737238e-06
